sku,bar_code,desc,tipo_de_veiculo,marca_id,cat_id
"AUGS773","7899751933421","Gauss Sensor ABS","carro","25","272"
"AUGS774","7899751933438","Gauss Sensor ABS","carro","25","272"
"AUGS775","7899751933445","Gauss Sensor ABS","carro","25","272"
"AUGS776","7899751933452","Gauss Sensor ABS","carro","25","272"
"AUGS777","7899751933469","Gauss Sensor ABS","carro","25","272"
"AUGS778","7899751933148","Gauss Sensor ABS","carro","25","272"
"AUGS779","7899751936682","Gauss Sensor ABS","carro","25","272"
"AUGS780","7899751933476","Gauss Sensor ABS","carro","25","272"
"AUGS781","7899751933483","Gauss Sensor ABS","carro","25","272"
"AUGS782","7899751933490","Gauss Sensor ABS","carro","25","272"
"AUGS783","7899751933506","Gauss Sensor ABS","carro","25","272"
"AUGS784","7899751933513","Gauss Sensor ABS","carro","25","272"
"AUGS785","7899751933520","Gauss Sensor ABS","carro","25","272"
"AUGS786","7899751933537","Gauss Sensor ABS","carro","25","272"
"AUGS787","7899751933544","Gauss Sensor ABS","carro","25","272"
"AUGS788","7899751933551","Gauss Sensor ABS","carro","25","272"
"AUGS789","7899751933568","Gauss Sensor ABS","carro","25","272"
"AUGS790","7899751933575","Gauss Sensor ABS","carro","25","272"
"AUGS791","7899751933582","Gauss Sensor ABS","carro","25","272"
"AUGS792","7899751933599","Gauss Sensor ABS","carro","25","272"
"AUGS793","7899751933605","Gauss Sensor ABS","carro","25","272"
"AUGS794","7899751933612","Gauss Sensor ABS","carro","25","272"
"AUGS795","7899751933629","Gauss Sensor ABS","carro","25","272"
"AUGS796","7899751933636","Gauss Sensor ABS","carro","25","272"
"AUGS797","7899751933643","Gauss Sensor ABS","carro","25","272"
"AUGS798","7899751933650","Gauss Sensor ABS","carro","25","272"
"AUGS799","7899751933667","Gauss Sensor ABS","carro","25","272"
"AUGS800","7899751933674","Gauss Sensor ABS","carro","25","272"
"AUGS801","7899751933681","Gauss Sensor ABS","carro","25","272"
"AUGS802","7899751933698","Gauss Sensor ABS","carro","25","272"
"AUGS803","7899751933704","Gauss Sensor ABS","carro","25","272"
"AUGS804","7899751933711","Gauss Sensor ABS","carro","25","272"
"AUGS805","7899751933728","Gauss Sensor ABS","carro","25","272"
"AUGS806","7899751933735","Gauss Sensor ABS","carro","25","272"
"AUGS807","7899751933742","Gauss Sensor ABS","carro","25","272"
"AUGS808","7899751933759","Gauss Sensor ABS","carro","25","272"
"AUGS809","7899751933766","Gauss Sensor ABS","carro","25","272"
"AUGS810","7899751933773","Gauss Sensor ABS","carro","25","272"
"AUGS811","7899751933780","Gauss Sensor ABS","carro","25","272"
"AUGS812","7899751933797","Gauss Sensor ABS","carro","25","272"
"AUGS813","7899751933803","Gauss Sensor ABS","carro","25","272"
"AUGS814","7899751932974","Gauss Sensor ABS","carro","25","272"
"AUGS815","7899751932981","Gauss Sensor ABS","carro","25","272"
"AUGS816","7899751933810","Gauss Sensor ABS","carro","25","272"
"AUGS817","7899751933827","Gauss Sensor ABS","carro","25","272"
"AUGS818","7899751933100","Gauss Sensor ABS","carro","25","272"
"AUGS819","7899751932998","Gauss Sensor ABS","carro","25","272"
"AUGS820","7899751933834","Gauss Sensor ABS","carro","25","272"
"AUGS821","7899751933841","Gauss Sensor ABS","carro","25","272"
"AUGS822","7899751933858","Gauss Sensor ABS","carro","25","272"
"AUGS823","7899751933865","Gauss Sensor ABS","carro","25","272"
"AUGS824","7899751933872","Gauss Sensor ABS","carro","25","272"
"AUGS825","7899751933889","Gauss Sensor ABS","carro","25","272"
"AUGS826","7899751933896","Gauss Sensor ABS","carro","25","272"
"AUGS827","7899751933902","Gauss Sensor ABS","carro","25","272"
"AUGS828","7899751933919","Gauss Sensor ABS","carro","25","272"
"AUGS829","7899751933926","Gauss Sensor ABS","carro","25","272"
"AUGS830","7899751933933","Gauss Sensor ABS","carro","25","272"
"AUGS831","7899751933940","Gauss Sensor ABS","carro","25","272"
"AUGS832","7899751933957","Gauss Sensor ABS","carro","25","272"
"AUGS833","7899751933964","Gauss Sensor ABS","carro","25","272"
"AUGS834","7899751933971","Gauss Sensor ABS","carro","25","272"
"AUGS835","7899751933988","Gauss Sensor ABS","carro","25","272"
"AUGS836","7899751933995","Gauss Sensor ABS","carro","25","272"
"AUGS837","7899751934008","Gauss Sensor ABS","carro","25","272"
"AUGS838","7899751934015","Gauss Sensor ABS","carro","25","272"
"AUGS839","7899751934022","Gauss Sensor ABS","carro","25","272"
"AUGS840","7899751934039","Gauss Sensor ABS","carro","25","272"
"AUGS841","7899751934046","Gauss Sensor ABS","carro","25","272"
"AUGS842","7899751934053","Gauss Sensor ABS","carro","25","272"
"AUGS843","7899751934060","Gauss Sensor ABS","carro","25","272"
"AUGS844","7899751934077","Gauss Sensor ABS","carro","25","272"
"AUGS845","7899751934084","Gauss Sensor ABS","carro","25","272"
"AUGS846","7899751934091","Gauss Sensor ABS","carro","25","272"
"AUGS847","7899751934107","Gauss Sensor ABS","carro","25","272"
"AUGS848","7899751934114","Gauss Sensor ABS","carro","25","272"
"AUGS849","7899751934121","Gauss Sensor ABS","carro","25","272"
"AUGS850","7899751934138","Gauss Sensor ABS","carro","25","272"
"AUGS851","7899751934145","Gauss Sensor ABS","carro","25","272"
"AUGS852","7899751934152","Gauss Sensor ABS","carro","25","272"
"AUGS853","7899751934169","Gauss Sensor ABS","carro","25","272"
"AUGS854","7899751934176","Gauss Sensor ABS","carro","25","272"
"AUGS855","7899751934183","Gauss Sensor ABS","carro","25","272"
"AUGS856","7899751934190","Gauss Sensor ABS","carro","25","272"
"AUGS857","7899751934206","Gauss Sensor ABS","carro","25","272"
"AUGS858","7899751909747","Gauss Sensor Fluxo Ar","carro","25","273"
"AUGS859","7899751935302","Gauss Sensor de posição da borboleta (TPS)","carro","25","107"
"AUGS860","7899751935319","Gauss Sensor de posição da borboleta (TPS)","carro","25","107"
"AUGS861","7899751933131","Gauss Sensor de rotação","carro","25","108"
"AUGS862","7899751933025","Gauss Sensor de rotação","carro","25","108"
"AUGS863","7899751932967","Gauss Sensor de rotação","carro","25","108"
"AUGS864","7899751935425","Gauss Sensor de rotação","carro","25","108"
"AUGS865","7899751935449","Gauss Sensor de rotação","carro","25","108"
"AUGS866","7899751936675","Gauss Sensor de Detonação","carro","25","105"
"AUGS867","7899751930581","Gauss Sensor DPF","carro","25","277"
"AUGS868","7899751933322","Gauss Sensor MAP","carro","25","276"
"AUGS869","7899751930901","Gauss Sensor MAP","carro","25","276"
"AUGS870","7899751938150","Gauss Sensor MAP","carro","25","276"
"AUGS871","7899751933339","Gauss Sensor MAP","carro","25","276"
"AUGS872","7899751933346","Gauss Sensor MAP","carro","25","276"
"AUGS873","7899751935289","Gauss Sensor MAP","carro","25","276"
"AUGS874","7899751938174","Gauss Sensor ABS","carro","25","272"
"AUGS875","7899751938181","Gauss Sensor ABS","carro","25","272"
"AUGS876","7899751938198","Gauss Sensor ABS","carro","25","272"
"AUGS877","7899751938204","Gauss Sensor ABS","carro","25","272"
"AUGS878","7899751938211","Gauss Sensor ABS","carro","25","272"
"AUGS879","7899751938228","Gauss Sensor ABS","carro","25","272"
"AUGS880","7899751938235","Gauss Sensor ABS","carro","25","272"
"AUGS881","7899751938242","Gauss Sensor ABS","carro","25","272"
"AUGS882","7899751938259","Gauss Sensor ABS","carro","25","272"
"AUGS883","7899751938266","Gauss Sensor ABS","carro","25","272"
"AUGS884","7899751938273","Gauss Sensor ABS","carro","25","272"
"AUGS885","7899751938280","Gauss Sensor ABS","carro","25","272"
"AUGS886","7899751938297","Gauss Sensor ABS","carro","25","272"
"AUGS887","7899751938303","Gauss Sensor ABS","carro","25","272"
"AUGS888","7899751938310","Gauss Sensor ABS","carro","25","272"
"AUGS889","7899751938327","Gauss Sensor ABS","carro","25","272"
"AUGS890","7899751938334","Gauss Sensor ABS","carro","25","272"
"AUGS891","7899751938341","Gauss Sensor ABS","carro","25","272"
"AUGS892","7899751938358","Gauss Sensor ABS","carro","25","272"
"AUGS893","7899751938365","Gauss Sensor ABS","carro","25","272"
"AUGS894","7899751938372","Gauss Sensor ABS","carro","25","272"
"AUGS895","7899751938389","Gauss Sensor ABS","carro","25","272"
"AUGS896","7899751938396","Gauss Sensor ABS","carro","25","272"
"AUGS897","7899751934213","Gauss Sensor ABS","carro","25","272"
"AUGS898","7899751934220","Gauss Sensor ABS","carro","25","272"
"AUGS899","7899751934237","Gauss Sensor ABS","carro","25","272"
"AUGS900","7899751934244","Gauss Sensor ABS","carro","25","272"
"AUGS901","7899751934251","Gauss Sensor ABS","carro","25","272"
"AUGS902","7899751934268","Gauss Sensor ABS","carro","25","272"
"AUGS903","7899751934275","Gauss Sensor ABS","carro","25","272"
"AUGS904","7899751934282","Gauss Sensor ABS","carro","25","272"
"AUGS905","7899751934299","Gauss Sensor ABS","carro","25","272"
"AUGS906","7899751938402","Gauss Sensor ABS","carro","25","272"
"AUGS907","7899751934305","Gauss Sensor ABS","carro","25","272"
"AUGS908","7899751934312","Gauss Sensor ABS","carro","25","272"
"AUGS909","7899751934329","Gauss Sensor ABS","carro","25","272"
"AUGS910","7899751934336","Gauss Sensor ABS","carro","25","272"
"AUGS911","7899751934343","Gauss Sensor ABS","carro","25","272"
"AUGS912","7899751938419","Gauss Sensor ABS","carro","25","272"
"AUGS913","7899751938426","Gauss Sensor ABS","carro","25","272"
"AUGS914","7899751934350","Gauss Sensor ABS","carro","25","272"
"AUGS915","7899751934367","Gauss Sensor ABS","carro","25","272"
"AUGS916","7899751934374","Gauss Sensor ABS","carro","25","272"
"AUGS917","7899751934381","Gauss Sensor ABS","carro","25","272"
"AUGS918","7899751934398","Gauss Sensor ABS","carro","25","272"
"AUGS919","7899751938433","Gauss Sensor ABS","carro","25","272"
"AUGS920","7899751938440","Gauss Sensor ABS","carro","25","272"
"AUGS921","7899751938457","Gauss Sensor ABS","carro","25","272"
"AUGS922","7899751938464","Gauss Sensor ABS","carro","25","272"
"AUGS923","7899751938471","Gauss Sensor ABS","carro","25","272"
"AUGS924","7899751934404","Gauss Sensor ABS","carro","25","272"
"AUGS925","7899751938488","Gauss Sensor ABS","carro","25","272"
"AUGS926","7899751938495","Gauss Sensor ABS","carro","25","272"
"AUGS927","7899751934411","Gauss Sensor ABS","carro","25","272"
"AUGS928","7899751938501","Gauss Sensor ABS","carro","25","272"
"AUGS929","7899751934428","Gauss Sensor ABS","carro","25","272"
"AUGS930","7899751938518","Gauss Sensor ABS","carro","25","272"
"AUGS931","7899751938525","Gauss Sensor ABS","carro","25","272"
"AUGS932","7899751938532","Gauss Sensor ABS","carro","25","272"
"AUGS933","7899751938549","Gauss Sensor ABS","carro","25","272"
"AUGS934","7899751938556","Gauss Sensor ABS","carro","25","272"
"AUGS935","7899751938563","Gauss Sensor ABS","carro","25","272"
"AUGS936","7899751934442","Gauss Sensor ABS","carro","25","272"
"AUGS937","7899751934459","Gauss Sensor ABS","carro","25","272"
"AUGS938","7899751938570","Gauss Sensor ABS","carro","25","272"
"AUGS939","7899751938587","Gauss Sensor ABS","carro","25","272"
"AUGS940","7899751938594","Gauss Sensor ABS","carro","25","272"
"AUGS941","7899751938600","Gauss Sensor ABS","carro","25","272"
"AUGS942","7899751938617","Gauss Sensor ABS","carro","25","272"
"AUGS943","7899751938624","Gauss Sensor ABS","carro","25","272"
"AUGS944","7899751938631","Gauss Sensor ABS","carro","25","272"
"AUGS945","7899751938648","Gauss Sensor ABS","carro","25","272"
"AUGS946","7899751938655","Gauss Sensor ABS","carro","25","272"
"AUGS947","7899751938662","Gauss Sensor ABS","carro","25","272"
"AUGS948","7899751938679","Gauss Sensor ABS","carro","25","272"
"AUGS949","7899751938686","Gauss Sensor ABS","carro","25","272"
"AUGS950","7899751934466","Gauss Sensor ABS","carro","25","272"
"AUGS951","7899751934473","Gauss Sensor ABS","carro","25","272"
"AUGS952","7899751938693","Gauss Sensor ABS","carro","25","272"
"AUGS953","7899751938709","Gauss Sensor ABS","carro","25","272"
"AUGS954","7899751938716","Gauss Sensor ABS","carro","25","272"
"AUGS955","7899751938723","Gauss Sensor ABS","carro","25","272"
"AUGS956","7899751938730","Gauss Sensor ABS","carro","25","272"
"AUGS957","7899751938747","Gauss Sensor ABS","carro","25","272"
"AUGS958","7899751938754","Gauss Sensor ABS","carro","25","272"
"AUGS959","7899751938761","Gauss Sensor ABS","carro","25","272"
"AUGS960","7899751934480","Gauss Sensor ABS","carro","25","272"
"AUGS961","7899751934497","Gauss Sensor ABS","carro","25","272"
"AUGS962","7899751938778","Gauss Sensor ABS","carro","25","272"
"AUGS963","7899751934503","Gauss Sensor ABS","carro","25","272"
"AUGS964","7899751938785","Gauss Sensor ABS","carro","25","272"
"AUGS965","7899751938792","Gauss Sensor ABS","carro","25","272"
"AUGS966","7899751938808","Gauss Sensor ABS","carro","25","272"
"AUGS967","7899751938815","Gauss Sensor ABS","carro","25","272"
"AUGS968","7899751938822","Gauss Sensor ABS","carro","25","272"
"AUGS969","7899751938839","Gauss Sensor ABS","carro","25","272"
"AUGS970","7899751938846","Gauss Sensor ABS","carro","25","272"
"AUGS971","7899751938853","Gauss Sensor ABS","carro","25","272"
"AUGS972","7899751938860","Gauss Sensor ABS","carro","25","272"
"AUGS973","7899751938877","Gauss Sensor ABS","carro","25","272"
"AUGS974","7899751938884","Gauss Sensor ABS","carro","25","272"
"AUGS975","7899751938891","Gauss Sensor ABS","carro","25","272"
"AUGS976","7899751938907","Gauss Sensor ABS","carro","25","272"
"AUGS977","7899751938914","Gauss Sensor ABS","carro","25","272"
"AUGS978","7899751938921","Gauss Sensor ABS","carro","25","272"
"AUGS979","7899751938938","Gauss Sensor ABS","carro","25","272"
"AUGS980","7899751938945","Gauss Sensor ABS","carro","25","272"
"AUGS981","7899751938952","Gauss Sensor ABS","carro","25","272"
"AUGS982","7899751938969","Gauss Sensor ABS","carro","25","272"
"AUGS983","7899751938976","Gauss Sensor ABS","carro","25","272"
"AUGS984","7899751938983","Gauss Sensor ABS","carro","25","272"
"AUGS985","7899751938990","Gauss Sensor ABS","carro","25","272"
"AUGS986","7899751939003","Gauss Sensor ABS","carro","25","272"
"AUGS987","7899751939010","Gauss Sensor ABS","carro","25","272"
"AUGS988","7899751939027","Gauss Sensor ABS","carro","25","272"
"AUGS989","7899751939034","Gauss Sensor ABS","carro","25","272"
"AUGS990","7899751939041","Gauss Sensor ABS","carro","25","272"
"AUGS991","7899751939058","Gauss Sensor ABS","carro","25","272"
"AUGS992","7899751939065","Gauss Sensor ABS","carro","25","272"
"AUGS993","7899751939072","Gauss Sensor ABS","carro","25","272"
"AUGS994","7899751939089","Gauss Sensor ABS","carro","25","272"
"AUGS995","7899751939096","Gauss Sensor ABS","carro","25","272"
"AUGS996","7899751939102","Gauss Sensor ABS","carro","25","272"
"AUGS997","7899751939119","Gauss Sensor ABS","carro","25","272"
"AUGS998","7899751939126","Gauss Sensor ABS","carro","25","272"
"AUGS999","7899751939133","Gauss Sensor ABS","carro","25","272"
"AUGT049","7899751933117","Gauss Corpo de Borboleta","carro","25","101"
"AUGT050","7899751937627","Gauss Corpo de Borboleta","carro","25","101"
"AUGT051","7899751933155","Gauss Corpo de Borboleta","carro","25","101"
"AUGT052","7899751933391","Gauss Corpo de Borboleta","carro","25","101"
"AUGT053","7899751933162","Gauss Corpo de Borboleta","carro","25","101"
"AUGV062","7899751937214","Gauss Vela de Ignição","carro","25","82"
"AUGV063","7899751937207","Gauss Vela de Ignição","carro","25","82"
"AUGV064","7899751937191","Gauss Vela de Ignição","carro","25","82"
"AUGV065","7899751937245","Gauss Vela de Ignição","carro","25","82"
"AUGV066","7899751937238","Gauss Vela de Ignição","carro","25","82"
"AUGV067","7899751937221","Gauss Vela de Ignição","carro","25","82"
"AUGZ062","7899751933193","Gauss Buzina","carro","25","18"
"AURO001","7898541344829","Gauss Isolador","carro","25","288"
"AURO002","7898541344836","Gauss Isolador","carro","25","288"
"AURO003","7898252655832","Gauss Rolamentos","carro","25","67"
"AURO004","7898252655849","Gauss Rolamentos","carro","25","67"
"AURO005","7898252655856","Gauss Rolamentos","carro","25","67"
"AURO006","7898252655931","Gauss Rolamentos","carro","25","67"
"AURO007","7898252656020","Gauss Rolamentos","carro","25","67"
"AURO008","7898252656037","Gauss Rolamentos","carro","25","67"
"AURO009","7898252656044","Gauss Rolamentos","carro","25","67"
"AURO010","7898252656051","Gauss Rolamentos","carro","25","67"
"AURO011","7899751937054","Gauss Rolamentos","carro","25","67"
"AURO012","7899751937818","Gauss Rolamentos","carro","25","67"
"AURO013","7898541344751","Gauss Rolamentos","carro","25","67"
"AURO014","7899751937092","Gauss Rolamentos","carro","25","67"
"AURO015","7899751937085","Gauss Rolamentos","carro","25","67"
"AURO016","7899751937047","Gauss Rolamentos","carro","25","67"
"AURO017","7899751923941","Gauss Rolamentos","carro","25","67"
"AURO018","7898541344768","Gauss Rolamentos","carro","25","67"
"AURO019","7898541344775","Gauss Rolamentos","carro","25","67"
"AURO020","7898541342450","Gauss Rolamentos","carro","25","67"
"AURO021","7899751937115","Gauss Rolamentos","carro","25","67"
"AURO022","7899751937061","Gauss Rolamentos","carro","25","67"
"AURO023","7898541344744","Gauss Rolamentos","carro","25","67"
"AURO024","7898541342719","Gauss Rolamentos","carro","25","67"
"AURO025","7899751927437","Gauss Rolamentos","carro","25","67"
"AURO026","7899751937078","Gauss Rolamentos","carro","25","67"
"AURO027","7899751937108","Gauss Rolamentos","carro","25","67"
"AURO028","7898541341125","Gauss Rolamentos","carro","25","67"
"AURO029","7898541344645","Gauss Rolamentos","carro","25","67"
"AURO030","7899751906647","Gauss Rolamentos","carro","25","67"
"AURO031","7898252655771","Gauss Rolamentos","carro","25","67"
"AURO032","7899751906630","Gauss Rolamentos","carro","25","67"
"AURO033","7898252657515","Gauss Rolamentos","carro","25","67"
"AURO034","7898541344614","Gauss Rolamentos","carro","25","67"
"AURO035","7898541342610","Gauss Rolamentos","carro","25","67"
"AURO036","7898252655894","Gauss Rolamentos","carro","25","67"
"AURO037","7898252655900","Gauss Rolamentos","carro","25","67"
"AURO038","7898541344652","Gauss Rolamentos","carro","25","67"
"AURO039","7898252655955","Gauss Rolamentos","carro","25","67"
"AURO040","7899751906623","Gauss Rolamentos","carro","25","67"
"AURO041","7899751906616","Gauss Rolamentos","carro","25","67"
"AURO042","7899751906609","Gauss Rolamentos","carro","25","67"
"AURO043","7898541344676","Gauss Rolamentos","carro","25","67"
"AURO044","7898252655962","Gauss Rolamentos","carro","25","67"
"AURO045","7898541344683","Gauss Rolamentos","carro","25","67"
"AURO046","7898252656006","Gauss Rolamentos","carro","25","67"
"AURO047","7898252656013","Gauss Rolamentos","carro","25","67"
"AURO048","7899751937122","Gauss Rolamentos","carro","25","67"
"AURO049","7899751909020","Gauss Rolamentos","carro","25","67"
"AURO050","7899751906654","Gauss Rolamentos","carro","25","67"
"AURO051","7899751937801","Gauss Rolamentos","carro","25","67"
"AURO052","7899751927420","Gauss Rolamentos","carro","25","67"
"AURO053","7898541344737","Gauss Rolamentos","carro","25","67"
"AURO054","7899751906586","Gauss Rolamentos","carro","25","67"
"AURO055","7899751906593","Gauss Rolamentos","carro","25","67"
"AURO056","7899751927451","Gauss Rolamentos","carro","25","67"
"AURO057","7898541344706","Gauss Rolamentos","carro","25","67"
"AURO058","7898252656082","Gauss Rolamentos","carro","25","67"
"AURO059","7898252656099","Gauss Rolamentos","carro","25","67"
"AURO060","7898541345611","Gauss Rolamentos","carro","25","67"
"AURO061","7898252656075","Gauss Rolamentos","carro","25","67"
"AURO062","7898541344720","Gauss Rolamentos","carro","25","67"
"AURO063","7899751906562","Gauss Rolamentos","carro","25","67"
"AURO064","7899751906579","Gauss Rolamentos","carro","25","67"
"AURO065","7898541344713","Gauss Rolamentos","carro","25","67"
"AURO066","7899751925198","Gauss Rolamentos","carro","25","67"
"AURO067","7898252656068","Gauss Rolamentos","carro","25","67"
"AUVN026","0","NGK Vela de Ignição","carro","8","82"
"JQ523","7909201037484","Laquila Nenhum","moto","18","1"
"JQ524","7909201037491","Laquila Nenhum","moto","18","1"
"JQ525","7909201037507","Laquila Nenhum","moto","18","1"
"MM010","MM010","Wolf Mala para motociclistas","moto","62","55"
"MTGE107","7899751937184","Gauss Retificador","carro","25","267"
"MTGI019","7899751937139","Gauss Bobina de Ignição","carro","25","113"
"MTGI020","7899751937146","Gauss Bobina de Ignição","carro","25","113"
"MTGI021","7899751937153","Gauss Bobina de Ignição","carro","25","113"
"MTGS011","7899751937832","Gauss Sensor Oxigenio","carro","25","274"
"MTGS012","7899751937849","Gauss Sensor Oxigenio","carro","25","274"
"MTGV036","7899751937252","Gauss Vela de Ignição","carro","25","82"
"MTGV037","0","Gauss Vela de Ignição","carro","25","82"
